name,goals_per90,assists_per90,goals_assists_pens_per90
Fali,"0.00,0.04,0.00","0.00,0.00,0.00","0.00,0.04,0.00"
David Gil,,,
João Paulo Santos Costa,,,
Filip Malbašić,"0.25,0.00,0.00","0.12,0.38,0.63","0.31,0.38,0.63"
Augusto Fernández,"0.11,0.00,0.00","0.00,0.00,0.00","0.11,0.00,0.00"
Anthony Lozano,"0.00,0.40,0.00","0.00,0.04,0.00","0.00,0.44,0.00"
Jeremías Ledesma,,,
Gonçalo Guedes,"0.29,0.12,0.00","0.15,0.12,0.00","0.44,0.24,0.00"
Antonio Cortés,"['0.48', None, '4.50']","['0.00', None, '0.00']","['0.48', None, '4.50']"
Rubén Yáñez,,,
Luis Javier Suárez,"0.27,0.53,0.00","0.04,0.11,0.00","0.31,0.56,0.00"
Alberto Soro,"0.13,0.15,0.00","0.13,0.23,0.00","0.25,0.38,0.00"
Yan Brice Eteki,"0.00,0.00,0.00","0.03,0.00,0.00","0.03,0.00,0.00"
Fede Vico,"0.16,0.20,0.00","0.22,0.10,0.00","0.35,0.20,0.00"
Ángel Montoro,"0.15,0.18,0.00","0.15,0.46,1.02","0.31,0.65,1.02"
Ante Palaversa,,,
Chema,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]"
Francisco Portillo,"0.08,0.00,0.00","0.19,0.23,0.00","0.27,0.23,0.00"
Kevin Vázquez,"['0.00', '0.00', None]","['0.00', '0.00', None]","['0.00', '0.00', None]"
Aimar Oroz,,,
Javi Martínez,,,
Erick Cabaco,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Carles Aleñá,"['0.11', '0.00', None]","['0.11', '0.00', None]","['0.21', '0.00', None]"
Juan Pérez,,,
Enes Ünal,"0.25,0.23,0.00","0.12,0.08,0.00","0.25,0.23,0.00"
Robin Le Normand,"0.00,0.03,0.00","0.34,0.00,0.00","0.34,0.03,0.00"
Jorge Sáenz,"['0.12', '0.00', None]","['0.06', '0.00', None]","['0.18', '0.00', None]"
Marc Bartra,"0.02,0.10,0.00","0.00,0.03,0.00","0.02,0.14,0.00"
Álvaro Vadillo,"['0.19', None, '0.00']","['0.06', None, '0.00']","['0.19', None, '0.00']"
Andoni Gorosabel,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Alexander Isak,"0.86,0.68,0.00","0.40,0.10,0.00","0.99,0.78,0.00"
Álex Remiro,,,
Mikel Merino,"0.16,0.15,0.20","0.12,0.03,0.40","0.29,0.18,0.60"
Ivan Šaponjić,"[None, '0.00', None]","[None, '0.00', None]","[None, '0.00', None]"
Daniel Parejo,"0.19,0.22,0.00","0.13,0.13,0.00","0.23,0.20,0.00"
Mouctar Diakhaby,"0.09,0.00,0.00","0.00,0.00,0.00","0.09,0.00,0.00"
Geoffrey Kondogbia,"0.05,0.08,0.00","0.05,0.04,0.00","0.09,0.11,0.00"
Alberto Cifuentes,,,
Jens Jønsson,"0.19,0.03,0.00","0.00,0.03,0.00","0.19,0.07,0.00"
Víctor Díaz,"0.05,0.03,0.00","0.00,0.14,0.00","0.05,0.17,0.00"
José Mari,"0.03,0.05,0.00","0.00,0.05,0.00","0.00,0.09,0.00"
Maxi Gómez,"0.39,0.32,0.60","0.15,0.10,0.00","0.51,0.42,0.60"
Álvaro Negredo,"['0.51', None, '0.39']","['0.26', None, '0.39']","['0.77', None, '0.78']"
José Luis Gayà,"0.02,0.00,0.00","0.06,0.03,0.20","0.08,0.03,0.20"
Daniel Wass,"0.05,0.05,0.20","0.14,0.15,0.20","0.19,0.20,0.40"
Ramon Azeez,"0.00,0.12,0.00","0.00,0.06,0.00","0.00,0.18,0.00"
Jorge Molina,"0.52,0.26,0.57","0.16,0.13,0.00","0.61,0.30,0.57"
Germán Sánchez,"0.03,0.10,0.46","0.03,0.00,0.00","0.05,0.10,0.46"
Carlos Neva,"0.00,0.00,0.00","0.00,0.04,0.00","0.00,0.04,0.00"
Kenedy,"[None, '0.28', '0.00']","[None, '0.47', '0.57']","[None, '0.75', '0.57']"
Roberto Soldado,"0.37,0.34,0.47","0.25,0.17,0.00","0.62,0.45,0.47"
Darwin Machís,"0.15,0.26,0.44","0.15,0.26,0.44","0.31,0.49,0.88"
Maxime Gonalons,"0.00,0.05,0.00","0.00,0.05,0.00","0.00,0.09,0.00"
Jesús Vallejo,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Domingos Duarte,"0.10,0.08,0.00","0.00,0.03,0.00","0.10,0.11,0.00"
Jaime Mata,"0.53,0.39,0.47","0.20,0.11,0.00","0.56,0.39,0.47"
David Timor,"0.00,0.21,0.00","0.00,0.07,0.00","0.00,0.28,0.00"
Nemanja Maksimović,"0.03,0.05,0.00","0.03,0.00,0.00","0.05,0.05,0.00"
Mathías Olivera,"0.00,0.00,0.00","0.09,0.12,0.00","0.09,0.12,0.00"
Cucho,"0.17,0.30,0.00","0.13,0.06,0.69","0.21,0.36,0.69"
Damián Suárez,"0.00,0.03,0.00","0.07,0.12,0.00","0.07,0.15,0.00"
Ángel Rodríguez,"0.56,0.63,0.93","0.17,0.15,0.00","0.64,0.73,0.93"
Allan Nyom,"0.05,0.06,0.00","0.05,0.03,0.25","0.10,0.09,0.25"
Javier Delgado,,,
Asier Córdoba,,,
Mauro Arambarri,"0.03,0.03,0.00","0.06,0.03,0.00","0.09,0.05,0.00"
David Soria,,,
