name,goals_per90,assists_per90,goals_assists_pens_per90
Tomás Pina Isla,"0.08,0.07,0.00","0.00,0.00,0.00","0.08,0.07,0.00"
Ximo Navarro,"0.07,0.00,0.00","0.07,0.00,0.00","0.14,0.00,0.00"
John Guidetti,"0.36,0.00,0.00","0.12,0.00,0.00","0.48,0.00,0.00"
Deyverson,"0.29,0.27,0.00","0.08,0.27,0.30","0.37,0.55,0.30"
Lucas Pérez,"0.75,0.40,0.00","0.00,0.18,0.43","0.75,0.40,0.43"
Oier Zarraga,,,
Florian Lejeune,"0.00,0.29,0.00","0.00,0.00,0.00","0.00,0.29,0.00"
Rubén Duarte,"0.00,0.00,0.00","0.00,0.03,0.00","0.00,0.03,0.00"
Aitor Paredes Casamichana,,,
Édgar Méndez,"0.00,0.10,0.21","0.00,0.00,0.00","0.00,0.10,0.21"
Unai Vencedor Paris,,,
Víctor Laguardia,"0.03,0.03,0.00","0.06,0.07,0.00","0.08,0.10,0.00"
Jokin Ezkieta,,,
Joselu,"0.28,0.36,0.25","0.09,0.06,0.00","0.37,0.39,0.25"
Rodrigo Battaglia,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Pere Pons,"0.03,0.08,0.00","0.06,0.08,0.00","0.09,0.17,0.00"
Iñigo Vicente,"[None, '0.16', '0.00']","[None, '0.38', '0.00']","[None, '0.55', '0.00']"
Iñigo Lekue,"0.00,0.00,0.00","0.00,0.11,0.00","0.00,0.11,0.00"
Álex Berenguer,"0.27,0.00,0.00","0.13,0.00,0.00","0.40,0.00,0.00"
Kenan Kodro,"0.56,0.25,0.00","0.00,0.00,0.00","0.56,0.25,0.00"
Iñigo Córdoba,"0.00,0.06,0.00","0.24,0.24,0.00","0.24,0.30,0.00"
Asier Villalibre,"[None, '0.47', '0.00']","[None, '0.00', '0.00']","[None, '0.47', '0.00']"
Mikel Vesga,"0.04,0.00,0.00","0.08,0.11,0.00","0.12,0.11,0.00"
Jon Morcillo,,,
Yeray Álvarez,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Oihan Sancet,"0.12,0.00","0.12,0.00","0.24,0.00"
Óscar de Marcos,"0.03,0.00,0.00","0.10,0.17,0.00","0.14,0.17,0.00"
Unai Núñez,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Mikel Balenziaga,"0.00,0.00,0.00","0.00,0.00,0.00","0.00,0.00,0.00"
Iñaki Williams,"0.40,0.24,0.00","0.11,0.05,0.35","0.51,0.26,0.35"
Édgar Badía,,,
Unai López,"0.00,0.05,0.62","0.00,0.19,0.00","0.00,0.23,0.62"
Fernando Pacheco,,,
Dani García,"0.00,0.00,0.00","0.03,0.03,0.00","0.03,0.03,0.00"
Ander Capa,"0.00,0.08,0.00","0.00,0.14,0.28","0.00,0.22,0.28"
Dani Cárdenas,,,
Pablo Martínez,,,
Hernâni Fortes,"['0.41', '0.24', None]","['0.41', '0.00', None]","['0.81', '0.24', None]"
Koke Vegas,,,
Iker Muniain,"0.25,0.19,0.00","0.11,0.06,0.00","0.32,0.25,0.00"
Coke,"0.22,0.08,0.00","0.00,0.00,0.00","0.22,0.08,0.00"
Dani Gómez,"0.40,0.00","0.04,0.00","0.36,0.00"
Yuri Berchiche,"0.05,0.11,0.00","0.05,0.03,0.00","0.11,0.14,0.00"
Jorge de Frutos,"0.00,0.13,0.00","0.00,0.07,0.00","0.00,0.20,0.00"
Sergio León,"0.23,0.12,0.00","0.15,0.00,0.00","0.31,0.12,0.00"
Unai Simón,,,
Son,"[None, '0.00', '0.00']","[None, '0.16', '0.00']","[None, '0.16', '0.00']"
Rober,"0.03,0.00,0.00","0.03,0.00,0.00","0.06,0.00,0.00"
Raúl García,"0.33,0.40,0.00","0.15,0.05,0.00","0.40,0.27,0.00"
Roger Martí,"0.62,0.43,0.95","0.00,0.04,0.95","0.52,0.32,1.89"
Toño,"0.10,0.00,0.00","0.10,0.11,0.00","0.20,0.11,0.00"
Iñigo Martínez,"0.00,0.03,0.00","0.03,0.05,0.00","0.03,0.08,0.00"
Nemanja Radoja,"[None, '0.04', '0.00']","[None, '0.00', '0.00']","[None, '0.04', '0.00']"
Óscar Duarte,"0.00,0.16,0.00","0.00,0.00,0.00","0.00,0.16,0.00"
Sergio Postigo,"0.06,0.04,0.00","0.06,0.04,0.00","0.11,0.08,0.00"
Carlos Clerc,"0.03,0.00,0.00","0.05,0.09,0.00","0.08,0.09,0.00"
Mickael Malsa,"0.00,0.00,0.00","0.00,0.03,0.00","0.00,0.03,0.00"
Oriol Rey,,,
Samuel Pérez,,,
Gonzalo Melero,"0.13,0.14,0.36","0.06,0.07,0.00","0.13,0.14,0.36"
Sergio López Galache,,,
Kuki,,,
Gaizka Campos Bahillo,,,
Miguel Ángel Rubio,,,
Jorge Miramón,"0.04,0.00,0.00","0.00,0.11,0.33","0.04,0.11,0.33"
Nikola Vukčević,"0.00,0.00,0.00","0.00,0.11,0.00","0.00,0.11,0.00"
Jordi Masip,,,
Jawad El Yamiq,"0.00,0.00,0.00","0.08,0.00,0.00","0.08,0.00,0.00"
Enis Bardhi,"0.09,0.30,0.00","0.12,0.09,0.00","0.21,0.38,0.00"
